route,page_role,words_before_first_substantive_content,dom_nodes_before_first_substantive_content,vertical_pixels_before_first_substantive_content,metadata_items_before_content,callout_count_before_content,card_count_before_content,navigation_blocks_before_content,outline_present,outline_item_count,breadcrumb_height,header_height,first_substantive_heading,repeated_boilerplate_word_count,main_content_ratio
"/","home","0","2","","15","1","2","0","false","0","","","","181","0.824"
"/about/","policy","0","1","","1","0","0","0","false","0","","","","179","0.401"
"/accessibility/","policy","0","1","","1","0","0","0","false","0","","","","179","0.344"
"/answers/","directory","0","1","","16","0","0","0","false","0","","","","181","0.805"
"/answers/calculus/integral-of-sec-cubed/","answer","6","8","","2","1","0","1","false","0","","","","349","0.682"
"/corrections/","policy","0","1","","1","0","0","0","false","0","","","","179","0.372"
"/editorial-policy/","policy","0","1","","1","0","0","0","false","0","","","","179","0.347"
"/glossary/","glossary-hub","0","1","","2","0","0","0","false","0","","","","180","0.163"
"/glossary/math/","glossary-hub","3","7","","1","0","0","2","false","23","","","","179","0.978"
"/glossary/math/absolute-convergence/","glossary-term","17","15","","0","0","0","1","false","0","","","","183","0.483"
"/glossary/math/antiderivative/","glossary-term","15","15","","0","0","0","1","false","0","","","","182","0.486"
"/glossary/math/chain-rule/","glossary-term","17","15","","0","0","0","1","false","0","","","","183","0.593"
"/glossary/math/continuity/","glossary-term","15","15","","0","0","0","1","false","0","","","","182","0.512"
"/glossary/math/conventions/","glossary-term","4","9","","5","0","0","1","false","0","","","","182","0.776"
"/glossary/math/critical-number/","glossary-term","17","15","","0","0","0","1","false","0","","","","183","0.505"
"/glossary/math/definite-integral/","glossary-term","17","15","","0","0","0","1","false","0","","","","183","0.511"
"/glossary/math/derivative/","glossary-term","15","15","","0","0","0","1","false","0","","","","182","0.583"
"/glossary/math/fundamental-theorem-calculus/","glossary-term","19","15","","0","0","0","1","false","0","","","","184","0.525"
"/glossary/math/geometric-series/","glossary-term","17","15","","0","0","0","1","false","0","","","","183","0.576"
"/glossary/math/implicit-differentiation/","glossary-term","17","15","","0","0","0","1","false","0","","","","183","0.541"
"/glossary/math/improper-integral/","glossary-term","17","15","","0","0","0","1","false","0","","","","183","0.505"
"/glossary/math/integration-by-parts/","glossary-term","19","15","","0","0","0","1","false","0","","","","184","0.515"
"/glossary/math/limit/","glossary-term","15","15","","0","0","0","1","false","0","","","","182","0.517"
"/glossary/math/local-maximum/","glossary-term","17","15","","0","0","0","1","false","0","","","","183","0.511"
"/glossary/math/local-minimum/","glossary-term","17","15","","0","0","0","1","false","0","","","","183","0.509"
"/glossary/math/one-sided-limit/","glossary-term","19","15","","0","0","0","1","false","0","","","","184","0.529"
"/glossary/math/optimization/","glossary-term","15","15","","0","0","0","1","false","0","","","","182","0.519"
"/glossary/math/power-series/","glossary-term","17","15","","0","0","0","1","false","0","","","","183","0.513"
"/glossary/math/radius-of-convergence/","glossary-term","19","15","","0","0","0","1","false","0","","","","184","0.496"
"/glossary/math/related-rates/","glossary-term","17","15","","0","0","0","1","false","0","","","","183","0.522"
"/glossary/math/sequence/","glossary-term","15","15","","0","0","0","1","false","0","","","","182","0.507"
"/glossary/math/series/","glossary-term","15","15","","0","0","0","1","false","0","","","","182","0.496"
"/glossary/math/taylor-series/","glossary-term","17","15","","0","0","0","1","false","0","","","","183","0.590"
"/glossary/math/u-substitution/","glossary-term","17","15","","0","0","0","1","false","0","","","","183","0.522"
"/how-we-verify/","policy","0","1","","1","0","0","0","false","0","","","","179","0.342"
"/learn/calculus/integration-by-parts/","method-guide","5","8","","3","0","2","1","false","0","","","","319","0.585"
"/practice/","directory","0","1","","1","0","0","0","false","0","","","","182","0.331"
"/practice/math/","directory","0","1","","4","0","0","0","false","0","","","","179","0.218"
"/practice/math/calculus/","directory","0","1","","211","0","0","0","false","0","","","","179","0.931"
"/practice/math/calculus/challenges/integration-bee/","assessment","0","4","","1","0","0","0","false","0","","","","345","0.097"
"/practice/math/calculus/diagnostics/calculus-readiness/","assessment","0","2","","2","0","0","0","false","0","","","","346","0.180"
"/practice/math/calculus/exams/calculus-foundations/","practice-exam","0","2","","2","0","0","0","false","0","","","","347","0.184"
"/practice/math/calculus/quizzes/integration-method-selection/","assessment","0","2","","2","0","0","0","false","0","","","","346","0.137"
"/privacy/","policy","0","1","","1","0","0","0","false","0","","","","179","0.474"
"/resources/","resource-library","12","8","","0","0","126","3","false","6","","","","186","0.895"
"/search/","search","0","1","","1","1","0","0","false","0","","","","180","0.817"
"/source-policy/","policy","0","1","","1","0","0","0","false","0","","","","179","0.358"
"/subjects/","subject-hub","0","1","","4","0","0","0","false","0","","","","179","0.218"
"/subjects/math/","subject-hub","0","2","","3","0","2","0","false","0","","","","178","0.299"
"/subjects/math/algebra/","course-hub","0","2","","3","0","0","0","false","0","","","","179","0.543"
"/subjects/math/algebra/expressions-equations/","quick-answer","5","11","","7","0","0","2","false","0","","","","181","0.637"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","method-guide","2","6","","2","1","0","2","true","6","","","","302","0.633"
"/subjects/math/algebra/expressions-equations/distributive-property/","concept-explainer","2","6","","2","1","0","2","true","6","","","","302","0.620"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","method-guide","2","6","","2","1","0","2","true","6","","","","297","0.635"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","concept-explainer","2","6","","2","1","0","2","true","6","","","","301","0.640"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","method-guide","2","6","","2","1","0","2","true","6","","","","303","0.640"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","decision-guide","2","6","","2","1","0","2","true","6","","","","303","0.633"
"/subjects/math/algebra/linear-relationships/","quick-answer","5","11","","7","0","0","2","false","0","","","","181","0.655"
"/subjects/math/algebra/linear-relationships/equation-from-two-points/","method-guide","2","6","","2","1","0","2","true","6","","","","327","0.618"
"/subjects/math/algebra/linear-relationships/graphing-linear-equations-from-standard-form/","method-guide","2","6","","2","1","0","2","true","6","","","","325","0.646"
"/subjects/math/algebra/linear-relationships/interpreting-linear-models/","quick-answer","2","6","","2","1","0","2","true","6","","","","328","0.631"
"/subjects/math/algebra/linear-relationships/parallel-perpendicular-lines/","concept-explainer","2","6","","2","1","0","2","true","6","","","","326","0.607"
"/subjects/math/algebra/linear-relationships/point-slope-vs-slope-intercept/","decision-guide","2","6","","2","1","0","2","true","6","","","","326","0.616"
"/subjects/math/algebra/linear-relationships/slope-as-rate-of-change/","concept-explainer","2","6","","2","1","0","2","true","6","","","","329","0.621"
